EDRM						
Creating Practical Resources to Improve E-Discovery & Information Governance						
						
						
						
						
Sample Size	Margin of Error	Conf Level		Sample Size	Margin of Error	Conf Level
100	0.0100	0.1585		400	0.0100	0.3108
100	0.0200	0.3108		400	0.0200	0.9545
100	0.0500	0.6827		400	0.0500	0.9545
100	0.1000	0.9545		400	0.1000	0.9990
100	0.0822	0.9000		400	0.0411	0.9000
100	0.0980	0.9500		400	0.0490	0.9500
100	0.1163	0.9800		400	0.0582	0.9800
100	0.1288	0.9900		400	0.0644	0.9900
						
1500	0.0100	0.5614		5000	0.0100	0.8427
1500	0.0200	0.8787		5000	0.0200	0.9953
1500	0.0580	0.9999		5000	0.0500	1.0000
1500	0.1000	1.0000		5000	0.1000	1.0000
1500	0.0212	0.9000		5000	0.0116	0.9000
1500	0.0253	0.9500		5000	0.0139	0.9500
1500	0.0300	0.9800		5000	0.0164	0.9800
1500	0.0333	0.9900		5000	0.0182	0.9900
